Name,Commentario,Indicadores Presidencia,Operativo Anual,Operativo Diario,Operativo Fin de Semana y Semanal,Operativo Mensual,Tendencia Firme / No Firme,Ventas por Tienda y Division,Ventas Presidencia,Ventas Restaurantes,Ventas Viajes Palacio
11/03/25,"Se presenta una diferencia entre ECC y PDTA del 3% en tienda Santa Fe. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
12/03/25,"Se presenta una diferencia entre ECC y PDTA del -1% en Ventas por Internet, -1% en Ventas por Teléfono. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
13/03/25,"Se presenta una diferencia entre ECC y PDTA del 2% en Tienda Nuevo Coyoacán, -1% en Ventas por Teléfono, -1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
14/03/25,"Se presenta una diferencia entre ECC y PDTA del 2% en Tienda Durango, 1% en Tienda Polanco, 2% en Tienda Nuevo Coyoacán. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
15/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Durango, 1% en Tienda Nuevo Coyoacan, -1% en Ventas por Teléfono. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
16/03/25,"Se presenta una diferencia entre ECC y PDTA del 2% en Tienda Durango y 1% en Tienda Nuevo Coyoacán. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
17/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Durango y 2% en Tienda Perisur y 2% en Tienda Nuevo Coyoacán. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
18/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Durango, 1%  en Tienda Polanco y 1% en Tienda Nuevo Coyoacán. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
19/03/25,"Se presenta una diferencia entre ECC y PDTA del -1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
20/03/25,"Se presenta una diferencia entre ECC y PDTA del 2% en tienda nuevo Coyoacán, -1% Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
21/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en tienda centro, 1% en Tienda Puebla, 1% en Tienda Satélite, 1% en Tienda Interlomas, 1% en Tienda Veracruz. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
22/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Nuevo Coyoacán. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
23/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Tienda Perisur y -1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
24/03/25,"Se presenta una diferencia entre ECC y PDTA del 2% en Tienda Durango,1% en Tienda Perisur y 1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
25/03/25,"Se presenta una diferencia entre ECC y PDTA del 29% en casa Palacio Santa Fe,10% en Boutique Mango Antara 1% en Tienda Santa Fe y -1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
26/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Interlomas y 1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
27/03/25,"Se presenta una diferencia entre ECC y PDTA del 3% en Tienda Polanco, -1% Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
28/03/25,"Derivado de que el proveedor no proporcionó el archivo viajes_palacio.csv, el equipo no realizó el envío del “Reporte Ventas Viajes Palacio”. Esto en cumplimiento con el protocolo establecido, ya que, en ausencia del archivo, el reporte se generaría con valores en cero.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,NO
29/03/25,"Derivado de que el proveedor no proporcionó el archivo viajes_palacio.csv, el equipo no realizó el envío del “Reporte Ventas Viajes Palacio”. Esto en cumplimiento con el protocolo establecido, ya que, en ausencia del archivo, el reporte se generaría con valores en cero.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,NO
30/03/25,"Se presenta una diferencia entre ECC y PDTA del 5% en Boutique Kurt Antea Querétaro, 4% Boutique Kurt Antara y -1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
31/03/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
01/02/25,,OK,N/A,OK,OK,OK,OK,OK,OK,OK,OK
02/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
03/02/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
04/02/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Nuevo Coyoacan y 4 % entre ECC y PDTA en Casa Palacio Santa Fe . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
05/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
06/02/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Interlomas. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
07/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
08/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
09/02/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
10/02/24,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
11/02/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
12/02/24,"Se presenta una diferencia del 1% entre ECC y PDTA en Ventas por Telefono. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
13/02/24,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Nuevo Coyoacan y 2 % entre ECC y PDTA en Tienda Santa Fe . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
14/02/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
15/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
16/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
17/02/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
18/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
19/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
20/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
21/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
22/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
23/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
24/02/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
25/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
26/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
27/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
28/02/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
01/01/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
02/01/25,,OK,N/A,OK,N/A,OK,OK,OK,OK,N/A,OK
03/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en las tiendas Polanco y Durango. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la operación de la cadena.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
04/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en la tiendas Polanco y 3% entre ECC y PDTA en la tienda  Perisur . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
05/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en las tiendas Santa Fe  y tienda  Nueva Coyoacan. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
06/01/25,"Se presenta una diferencia del 2% entre ECC y PDTA en la tienda Durango, 1% entre ECC y PDTA en la tienda  Nueva Coyoacan y 1% entre ECC y PDTA en Casa Palacio Santa Fe . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
07/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en la tienda Interlomas y -1% entre ECC y PDTA en Ventas por Telefono . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
08/01/25,"Se presenta una diferencia del 3% entre ECC y PDTA en la Tienda Santa Fe. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
09/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en las Tiendas Polanco y Ventas  Por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
10/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en las Tiendas Polanco , Ventas  Por Internet y Tienda Nuevo Coyoacán . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
11/01/25,"Se presenta una diferencia del 14% entre ECC y PDTA en Outlet Lerma, 10% entre ECC y PDTA en Outlet  Punta Norte y 4% entre ECC y PDTA en Ventas por Telefono . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
12/01/25,"Se presenta una diferencia del 2% entre ECC y PDTA en Outlet  Punta Norte. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
13/01/25,"Se presenta una diferencia del 3% entre ECC y PDTA en Outlet  Punta Norte y -1% entre ECC y PDTA en Ventas por Internet . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
14/01/25,"Se presenta una diferencia del 2% entre ECC y PDTA en Tienda Nuevo Coyoacan. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
15/01/25,"Se presenta una diferencia del 2% entre ECC y PDTA en Tienda Nuevo Coyoacan. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
16/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Polanco. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
17/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Durango. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
18/01/25,"Se detectó una inconsistencia en los datos de los reportes ""Tendencia Dirección"", ""Operativo Diario"" y ""Ventas por Tienda y División"", derivada de una reclasificación. El impacto se reflejó en el total de ventas correspondiente a la división Tecnología y Experiencias, cuya información fue reclasificada bajo los nuevos nombres de división: Tecnologia (sin acento) y Nuevos Negocios, respectivamente.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
19/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Durango y Tienda Nuevo Coyoacan. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
20/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Durango. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
21/01/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
22/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Leon. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
23/01/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
24/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Nuevo Coyoacan. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
25/01/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
26/01/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
27/01/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
28/01/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
29/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Santa Fe. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
30/01/25,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Santa Fe y 2 % entre ECC y PDTA en Ventas por Telefono . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
31/01/25,"Se presenta una diferencia del 2% entre ECC y PDTA en Tienda Durango. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
01/12/24,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
02/12/24,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
03/12/24,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
04/12/24,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
05/12/24,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
06/12/24,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
07/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
08/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
09/12/24,"Derivado a que el provedor no propociono el  archivivo viajes_palacio.CSV, el equipo no realiza el envio del Reporte Ventas Viajes Palacio , esto siguiento el protocolo establecido ya que se este se mostrara en 0",OK,OK,OK,OK,OK,OK,OK,OK,OK,NO
10/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
11/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
12/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
13/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
14/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
15/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
16/12/24,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
17/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
18/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
19/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
20/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
21/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
22/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
23/12/24,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
24/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
25/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
26/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
27/12/24,"Se presenta una diferencia del 2% entre ECC y PDTA en Tienda Nuevo Coyoacan. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
28/12/24,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Durango,  Ventas por Telefono y Tienda Santa Fe . Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
29/12/24,"Se presenta una diferencia del 1% entre ECC y PDTA en Tienda Polanco,  Tienda Nuevo Coyoacan. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
30/12/24,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
31/12/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
01/11/24,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
02/11/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
03/11/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
04/11/24,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
05/11/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
06/11/24,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
